Statistical profiling result from isolate-0x102801e00-v8.log, (2581 ticks, 222 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Builtin: ArrayPrototypeValues
      1    0.0%    0.0%  Builtin: ArrayIndexOf
      1    0.0%    0.0%  Builtin: ArgumentsAdaptorTrampoline

 [C++]:
   ticks  total  nonlib   name
    370   14.3%   14.4%  t node::(anonymous namespace)::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
    316   12.2%   12.3%  t node::Read(v8::FunctionCallbackInfo<v8::Value> const&)
    134    5.2%    5.2%  t node::Buffer::(anonymous namespace)::CreateFromString(v8::FunctionCallbackInfo<v8::Value> const&)
     71    2.8%    2.8%  t v8::internal::Handle<v8::internal::String> v8::internal::JsonParser<false>::SlowScanJsonString<v8::internal::SeqOneByteString, unsigned char>(v8::internal::Handle<v8::internal::String>, int, int)
     70    2.7%    2.7%  t node::InternalModuleReadFile(v8::FunctionCallbackInfo<v8::Value> const&)
     67    2.6%    2.6%  T v8::internal::IncrementalMarking::Step(unsigned long, v8::internal::IncrementalMarking::CompletionAction, v8::internal::IncrementalMarking::ForceCompletionAction, v8::internal::StepOrigin)
     67    2.6%    2.6%  T ___pthread_sigmask
     62    2.4%    2.4%  t void node::Buffer::(anonymous namespace)::StringSlice<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
     61    2.4%    2.4%  T v8::internal::JsonStringifier::SerializeString(v8::internal::Handle<v8::internal::String>)
     43    1.7%    1.7%  T ___kdebug_trace_string
     33    1.3%    1.3%  t __os_unfair_lock_lock_slow
     30    1.2%    1.2%  t node::InternalModuleStat(v8::FunctionCallbackInfo<v8::Value> const&)
     21    0.8%    0.8%  t node::Open(v8::FunctionCallbackInfo<v8::Value> const&)
     17    0.7%    0.7%  t node::Buffer::(anonymous namespace)::ByteLengthUtf8(v8::FunctionCallbackInfo<v8::Value> const&)
     13    0.5%    0.5%  t void v8::internal::String::WriteToFlat<unsigned short>(v8::internal::String*, unsigned short*, int, int)
     13    0.5%    0.5%  t v8::internal::JsonStringifier::Result v8::internal::JsonStringifier::Serialize_<true>(v8::internal::Handle<v8::internal::Object>, bool, v8::internal::Handle<v8::internal::Object>)
     13    0.5%    0.5%  T v8::internal::Scanner::Scan()
     11    0.4%    0.4%  T v8::internal::Heap::AllocateFixedArrayWithFiller(int, v8::internal::PretenureFlag, v8::internal::Object*)
     10    0.4%    0.4%  t void v8::internal::String::WriteToFlat<unsigned char>(v8::internal::String*, unsigned char*, int, int)
     10    0.4%    0.4%  t node::(anonymous namespace)::ContextifyScript::RunInThisContext(v8::FunctionCallbackInfo<v8::Value> const&)
     10    0.4%    0.4%  t node::(anonymous namespace)::Close(v8::FunctionCallbackInfo<v8::Value> const&)
      9    0.3%    0.4%  t v8::internal::ParserBase<v8::internal::Parser>::ParseAssignmentExpression(bool, bool*)
      8    0.3%    0.3%  t v8::internal::Worklist<v8::internal::HeapObject*, 64>::Pop(int, v8::internal::HeapObject**)
      8    0.3%    0.3%  t v8::internal::ConsString* v8::internal::String::VisitFlat<v8::internal::IteratingStringHasher>(v8::internal::IteratingStringHasher*, v8::internal::String*, int)
      8    0.3%    0.3%  T v8::internal::Scanner::ScanIdentifierOrKeyword()
      7    0.3%    0.3%  T v8::internal::String::IsOneByteEqualTo(v8::internal::Vector<unsigned char const>)
      7    0.3%    0.3%  T _mlockall
      7    0.3%    0.3%  T _faccessat
      6    0.2%    0.2%  t _szone_malloc_should_clear
      6    0.2%    0.2%  T v8::internal::StringTable::LookupKey(v8::internal::Isolate*, v8::internal::StringTableKey*)
      6    0.2%    0.2%  T v8::internal::JsonParser<false>::ParseJsonObject()
      6    0.2%    0.2%  T ___getrlimit
      5    0.2%    0.2%  t v8::internal::ParserBase<v8::internal::Parser>::ArrowFormalParametersUnexpectedToken()
      5    0.2%    0.2%  t v8::internal::Handle<v8::internal::String> v8::internal::JsonParser<false>::ScanJsonString<false>()
      5    0.2%    0.2%  t v8::internal::DescriptorArray::Append(v8::internal::Descriptor*)
      5    0.2%    0.2%  t int v8::internal::BinarySearch<(v8::internal::SearchMode)1, v8::internal::DescriptorArray>(v8::internal::DescriptorArray*, v8::internal::Name*, int, int*)
      5    0.2%    0.2%  t ___vfprintf
      5    0.2%    0.2%  T v8::internal::TransitionsAccessor::Initialize()
      5    0.2%    0.2%  T v8::internal::String::SlowEquals(v8::internal::String*)
      5    0.2%    0.2%  T v8::internal::JSObject::MigrateToMap(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Map>, int)
      5    0.2%    0.2%  T v8::internal::InnerPointerToCodeCache::GetCacheEntry(unsigned char*)
      5    0.2%    0.2%  T v8::internal::Heap::AllocateMap(v8::internal::InstanceType, int, v8::internal::ElementsKind)
      5    0.2%    0.2%  T _getsockname
      5    0.2%    0.2%  T ___bsdthread_terminate
      4    0.2%    0.2%  t void v8::internal::Scanner::Advance<false, true>()
      4    0.2%    0.2%  t v8::internal::LookupIterator::State v8::internal::LookupIterator::LookupInRegularHolder<false>(v8::internal::Map*, v8::internal::JSReceiver*)
      4    0.2%    0.2%  t v8::internal::AstNumberingVisitor::VisitNoStackOverflowCheck(v8::internal::AstNode*)
      4    0.2%    0.2%  t node::Stat(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.2%    0.2%  t node::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.2%    0.2%  t node::Binding(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.2%    0.2%  T v8::internal::TransitionsAccessor::Insert(v8::internal::Handle<v8::internal::Name>, v8::internal::Handle<v8::internal::Map>, v8::internal::SimpleTransitionFlag)
      4    0.2%    0.2%  T v8::internal::String::SlowFlatten(v8::internal::Handle<v8::internal::ConsString>, v8::internal::PretenureFlag)
      4    0.2%    0.2%  T v8::internal::IncrementalMarking::RecordWriteSlow(v8::internal::HeapObject*, v8::internal::Object**, v8::internal::Object*)
      3    0.1%    0.1%  t v8::internal::MaybeHandle<v8::internal::Object> v8::internal::(anonymous namespace)::HandleApiCallHelper<false>(v8::internal::Isolate*, v8::internal::Handle<v8::internal::HeapObject>, v8::internal::Handle<v8::internal::HeapObject>, v8::internal::Handle<v8::internal::FunctionTemplateInfo>, v8::internal::Handle<v8::internal::Object>, v8::internal::BuiltinArguments)
      3    0.1%    0.1%  t v8::internal::IterateAndScavengePromotedObjectsVisitor::VisitPointers(v8::internal::HeapObject*, v8::internal::Object**, v8::internal::Object**)
      3    0.1%    0.1%  t v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
      3    0.1%    0.1%  t v8::internal::Handle<v8::internal::String> v8::internal::JsonParser<false>::ScanJsonString<true>()
      3    0.1%    0.1%  t node::WriteBuffer(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.1%    0.1%  t node::FStat(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.1%    0.1%  t node::EnvQuery(v8::Local<v8::Name>, v8::PropertyCallbackInfo<v8::Integer> const&)
      3    0.1%    0.1%  t _mvm_allocate_pages
      3    0.1%    0.1%  T void v8::internal::LookupIterator::Start<false>()
      3    0.1%    0.1%  T v8::internal::Scanner::ScanNumber(bool)
      3    0.1%    0.1%  T v8::internal::Scanner::Next()
      3    0.1%    0.1%  T v8::internal::Map::WeakCellForMap(v8::internal::Handle<v8::internal::Map>)
      3    0.1%    0.1%  T v8::internal::Map::GeneralizeField(v8::internal::Handle<v8::internal::Map>, int, v8::internal::PropertyConstness, v8::internal::Representation, v8::internal::Handle<v8::internal::FieldType>)
      3    0.1%    0.1%  T v8::internal::IteratingStringHasher::VisitConsString(v8::internal::ConsString*)
      3    0.1%    0.1%  T v8::internal::FunctionCallbackArguments::Call(void (*)(v8::FunctionCallbackInfo<v8::Value> const&))
      3    0.1%    0.1%  T v8::internal::FeedbackNexus::FindHandlers(v8::internal::List<v8::internal::Handle<v8::internal::Object>, v8::internal::FreeStoreAllocationPolicy>*, int) const
      3    0.1%    0.1%  T v8::internal::DescriptorArray::CopyFrom(int, v8::internal::DescriptorArray*)
      3    0.1%    0.1%  T v8::internal::DeclarationScope::AllocateParameterLocals()
      3    0.1%    0.1%  T _os_unfair_lock_unlock_no_tsd_4libpthread
      3    0.1%    0.1%  T _os_unfair_lock_assert_not_owner
